song	artist	hip_hop_rnb	genre
With Arms Wide Open	Creed	0	Country / Rock
Words as Weapons	Seether	0	Country / Rock
World on Fire	Slash featuring Myles Kennedy & The Conspirators	0	Country / Rock
World So Cold	Three Days Grace	0	Country / Rock
You're a Lie	Slash featuring Myles Kennedy & The Conspirators	0	Country / Rock
You're the One	Greta Van Fleet	0	Country / Rock
You Know You're Right	Nirvana	0	Country / Rock
Your Decision	Alice in Chains	0	Country / Rock
Zombie	Bad Wolves	0	Country / Rock
1 Thing	Amerie	1	Hip Hop / RnB
21 Questions	50 Cent featuring Nate Dogg	1	Hip Hop / RnB
7/11	Beyoncé	1	Hip Hop / RnB
911 Is a Joke	Public Enemy	1	Hip Hop / RnB
A Milli	Lil Wayne	1	Hip Hop / RnB
A Song for Mama	Boyz II Men	1	Hip Hop / RnB
Addicted to You	LeVert	1	Hip Hop / RnB
Addictive Love	BeBe & CeCe Winans	1	Hip Hop / RnB
Adorn	Miguel	1	Hip Hop / RnB
Ain't Nobody Like You	Miki Howard	1	Hip Hop / RnB
Ain't Nuthin' in the World	Miki Howard	1	Hip Hop / RnB
Air Force Ones	Nelly featuring Kyjuan, Ali and Murphy Lee	1	Hip Hop / RnB
All Around the World	Lisa Stansfield	1	Hip Hop / RnB
All Eyes On You	Meek Mill featuring Chris Brown and Nicki Minaj	1	Hip Hop / RnB
All for You	Janet	1	Hip Hop / RnB
All I Do Is Think of You	Troop	1	Hip Hop / RnB
All My Life	K-Ci & JoJo	1	Hip Hop / RnB
All of Me	John Legend	1	Hip Hop / RnB
All of My Love	The Gap Band	1	Hip Hop / RnB
All the Man That I Need	Whitney Houston	1	Hip Hop / RnB
All Woman	Lisa Stansfield	1	Hip Hop / RnB
Alone with You	Tevin Campbell	1	Hip Hop / RnB
Always Be My Baby	Mariah Carey	1	Hip Hop / RnB
Always on Time	Ja Rule featuring Ashanti	1	Hip Hop / RnB
AmeriKKKa's Most Wanted	Ice Cube	1	Hip Hop / RnB
Anaconda	Nicki Minaj	1	Hip Hop / RnB
Another Part of Me	Michael Jackson	1	Hip Hop / RnB
Any Love	Luther Vandross	1	Hip Hop / RnB
Any Time, Any Place	Janet Jackson	1	Hip Hop / RnB
Are You Lonely for Me	The Rude Boys	1	Hip Hop / RnB
Around the Way Girl	LL Cool J	1	Hip Hop / RnB
Aston Martin Music	Rick Ross	1	Hip Hop / RnB
B.B.D. (I Thought It Was Me)?	Bell Biv DeVoe	1	Hip Hop / RnB
Baby	Brandy	1	Hip Hop / RnB
Baby-Baby-Baby	TLC	1	Hip Hop / RnB
Baby Boy	Beyoncé featuring Sean Paul	1	Hip Hop / RnB
Baby Come to Me	Regina Belle	1	Hip Hop / RnB
Baby Hold On To Me	Gerald Levert with Eddie Levert	1	Hip Hop / RnB
Baby I'm Ready	LeVert	1	Hip Hop / RnB
Baby If You're Ready	Doggy's Angels	1	Hip Hop / RnB
Baby If You're Ready	Doggy's Angels featuring LaToiya	1	Hip Hop / RnB
Back & Forth	Aaliyah	1	Hip Hop / RnB
Back to Life (However Do You Want Me)	Soul II Soul	1	Hip Hop / RnB
Back to Life (However Do You Want Me)	Soul II Soul featuring Caron Wheeler	1	Hip Hop / RnB
Bad	Wale featuring Tiara Thomas	1	Hip Hop / RnB
Bad and Boujee	Migos	1	Hip Hop / RnB
Bag Lady	Erykah Badu	1	Hip Hop / RnB
Ballin' Boy	No Good	1	Hip Hop / RnB
Banned in the U.S.A.	Luke	1	Hip Hop / RnB
Batdance	Prince	1	Hip Hop / RnB
Be Without You	Mary J. Blige	1	Hip Hop / RnB
Bed	J. Holiday	1	Hip Hop / RnB
BedRock	Young Money	1	Hip Hop / RnB
Before You Walk out of My Life / Like This and Like That	Monica	1	Hip Hop / RnB
Believe Me	Lil Wayne featuring Drake	1	Hip Hop / RnB
Berzerk	Eminem	1	Hip Hop / RnB
Best I Ever Had	Drake	1	Hip Hop / RnB
Bills, Bills, Bills	Destiny's Child	1	Hip Hop / RnB
Birthday Sex	Jeremih	1	Hip Hop / RnB
Bitch Better Have My Money	Rihanna	1	Hip Hop / RnB
Black and Yellow	Wiz Khalifa	1	Hip Hop / RnB
Black Beatles	Rae Sremmurd	1	Hip Hop / RnB
Black Widow	Iggy Azalea	1	Hip Hop / RnB
Blame It	Jamie Foxx featuring T-Pain	1	Hip Hop / RnB
Blurred Lines	Robin Thicke featuring T.I. & Pharrell	1	Hip Hop / RnB
Bodak Yellow (Money Moves)	Cardi B	1	Hip Hop / RnB
Boom Boom Pow	The Black Eyed Peas	1	Hip Hop / RnB
Boombastic / In the Summertime	Shaggy	1	Hip Hop / RnB
Bounce with Me	Lil' Bow Wow	1	Hip Hop / RnB
Bounce with Me	Lil' Bow Wow featuring Xscape	1	Hip Hop / RnB
Bounce with Me	Lil Bow Wow featuring Xscape	1	Hip Hop / RnB
Bow Wow (That's My Name)	Lil' Bow Wow	1	Hip Hop / RnB
Broccoli	DRAM	1	Hip Hop / RnB
Bump n' Grind	R. Kelly	1	Hip Hop / RnB
Burn	Usher	1	Hip Hop / RnB
Buy U a Drank (Shawty Snappin')	T-Pain featuring Yung Joc	1	Hip Hop / RnB
Call Me	Phil Perry	1	Hip Hop / RnB
Call Me D-Nice	D-Nice	1	Hip Hop / RnB
Call on Me	Janet with Nelly	1	Hip Hop / RnB
Callin' Me	Lil Zane	1	Hip Hop / RnB
Callin' Me	Lil Zane featuring 112	1	Hip Hop / RnB
Can't Be Friends	Trey Songz	1	Hip Hop / RnB
Can't Feel My Face	The Weeknd	1	Hip Hop / RnB
Can't Get Over You	Maze	1	Hip Hop / RnB
Can't Get Over You	Maze featuring Frankie Beverly	1	Hip Hop / RnB
Can't Hold Us	Macklemore	1	Hip Hop / RnB
Can't Hold Us	Macklemore & Ryan Lewis featuring Ray Dalton	1	Hip Hop / RnB
Can't Nobody Hold Me Down	Puff Daddy featuring Mase	1	Hip Hop / RnB
Can't Stop	After 7	1	Hip Hop / RnB
Can We Talk	Tevin Campbell	1	Hip Hop / RnB
Can You Stand the Rain	New Edition	1	Hip Hop / RnB
Can You Stop the Rain	Peabo Bryson	1	Hip Hop / RnB
Candy Rain	Soul for Real	1	Hip Hop / RnB
Candy Shop	50 Cent featuring Olivia	1	Hip Hop / RnB
Cashin' Out	Cash Out	1	Hip Hop / RnB
Cha Cha Cha	MC Lyte	1	Hip Hop / RnB
Check Yo Self	Ice Cube featuring Das EFX	1	Hip Hop / RnB
